https://www.startupact.tn/img/enova.png,"Enova Robotics con‡oit, fabrique et commercialise des robots mobiles dans le domaine de la s‚curit‚, la sant‚ et la logistique.

					Site web: www.enovarobotics.eu","Anis Sahbani

Philippe Bidaud

Christophe Grand",Industrie Robotique,Mars 2019, 
https://www.startupact.tn/img/datavora.png,"Startup sp‚cialis‚e dans l'offre en ligne, Datavora propose une plateforme de veille concurrentielle et tarifaire … grande ‚chelle pour les acteurs du e-commerce.

					Site web: www.datavora.com","Mohamed H‚di Zaher

Oussama Messaoud",ECommerce,Mars 2019, 
https://www.startupact.tn/img/polysmart.png,Nous produisons un jeux de la cat‚gorie Esport de type MOBA de tir (shooter) Top/down view (… la troisiŠme personne) pour plateforme PC.,"Ahmed Cheikhrouhou

Haroun Bouchrit",Gaming,Mars 2019, 
https://www.startupact.tn/img/bws.png,BWS est industriel et op‚rateur IoT offrant des solutions int‚gr‚es de monitoring des objets en temps r‚el pour l'optimisation ‚nerg‚tique.,"Karim Kharrat

Nizar Ghram

Sofiene Ghram",IOT,Mars 2019, 
https://www.startupact.tn/img/ezzayra.png,"D‚veloppement et int‚gration de produits technologiques destin‚s a l'agriculture. Software, Hardware et Robotique.

					Site web: www.ezzayra.com",Yasser Bououd,AgTech,Mars 2019, 
https://www.startupact.tn/img/medilsys.png,"Medilsys fournit aux structures hospitaliŠres les solutions les plus innovantes en systŠmes d?informations cliniques sp‚cialistes en soins intensifs.

					Site web: www.medilsys.com","Anis Ghorbel

Najmeddine Nouri

Sofiene Ghorbel",IT,Mars 2019, 
https://www.startupact.tn/img/dabchy.png,"Dabchy.com est une marketplace de mode qui permet aux femmes de renouveler leurs gardes-robes en ligne et en toute s‚curit‚.

					Site web: www.dabchy.com","Ghazi Ketata

Ameni Mansouri

Oussama Mahjoub",ECommerce,Mars 2019, 
https://www.startupact.tn/img/vitalight.png,"Laboratoire unique … la frontiŠre entre la biotechnologie marine et formulation soins dermo-cosm‚tiques naturels&raffin‚s … l?aide des actifs stabilis‚s … haute efficacit‚.

					Site web: www.algovita.tn","Ilyes Gouja

Khaoula ben Slimane",ECommerce,Mars 2019, 
https://www.startupact.tn/img/paypos.png,"D‚veloppement de solutions mon‚tiques innovantes et dans la digitalisation des services bancaires et financiers compatibles (PCI-DSS, EMV?).

					Site web: www.paypos.tn",Khatib Chakchouk,FinTech,Mars 2019, 
https://www.startupact.tn/img/nextgen.png,"NextGenCorp est sp‚cialis‚e dans le d‚veloppement d?applications mobiles ludo-‚ducatives et th‚rapeutiques pour les enfants qui souffrent des troubles d'apprentissage.

					Site web: www.ngcorp.tn","Moez Lachned

Ahmed Nabli",Sant‚,Mars 2019, 
https://www.startupact.tn/img/nostatik.png,"Symmetryk : Une plateforme d'‚change de documents entre le siŠge, filiales et les ‚quipes sur le terrain.

					Site web: www.nostatikmedia.com","Khaled Frad

Ramzi Mrad",IT,Mars 2019, 
https://www.startupact.tn/img/roam.png,"Roamsmart aide les op‚rateurs de t‚l‚phonie mobile dans la transformation num‚rique de leur activit‚ roaming a travers des solutions SaaS innovantes.

					Site web: www.roam-smart.com","Walid Chamekh

Mehdi Triki",T‚l‚coms,Mars 2019, 
https://www.startupact.tn/img/ilb.png,"L'objectif d'ilboursa est de d‚velopper le m‚dia leader et de r‚f‚rence dans le secteur ® Eco-Bourse-Finance ¯

					Site web: www.ilboursa.com","Ismail Ben Sassi 

Rodolphe Villaes",IT,Avril 2019, 
https://www.startupact.tn/img/expensya.png,"Expensya offre l'automatisation de la gestion des notes de frais - worldwide

					Site web: www.expensya.com",Karim Jouini,Fintech,Avril 2019, 
https://www.startupact.tn/img/gomycode.png,"GoMyCode se veut ˆtre une plateforme ‚ducative panafricaine qui regroupe les meilleurs talents tech de la r‚gion, les forme sur les nouvelles technologies et les connecte avec des projets du num‚rique … travers le monde.

                    Site web: www.gomycode.tn","Yahya Bouhlel 

Amine Bouhlel",EdTech,Avril 2019, 
https://www.startupact.tn/img/mass.png,"Mass est un fournisseur de solutions logicielles avanc‚es de Marketing analytique, ax‚es sur les outils de Mod‚lisation Mix Marketing.

					Site web: www.mass-analytics.com","Ramla Jarrar 

Firas Jabloun",AI,Avril 2019, 
https://www.startupact.tn/img/kaoun.png,"St‚ Kaoun met en place des produits d'identification et d'automatisation afin de rendre les services financiers plus rapides et plus accessibles … tous.

					Site web: www.kaoun.com","Nebras Jemel

Anis Kallel

Rostom Bouazizi",Fintech,Avril 2019, 
https://www.startupact.tn/img/apprentus.png,"Apprentus est une place de march‚ qui innove dans les mises en relation entre les professeurs particuliers et leurs futures ‚lŠves.

					Site web: www.apprentus.com","Gaetan Deremince

Marius Andra",EdTech,Avril 2019, 
https://www.startupact.tn/img/bus.png,"Bus Software offre un nouveau dispositif de perception sur le transport public avec un SAEIV (SystŠmes d?Aide … l?Exploitation et d?Information des Voyageurs).

					Site web: www.winicari.tn","Amor Sahnoun

Makrem Erguez",IoT,Avril 2019, 
https://www.startupact.tn/img/methania.png,"Methania est sp‚cialis‚e dans la conception, industrialisation, fabrication et installation des solutions de micro m‚thanisation et micro cog‚n‚ration,ing‚nierie et construction des installations cl‚ en main de M‚thanisation.

					Site web: www.methania.com",Selim Kanzari,Energie,Avril 2019, 
https://www.startupact.tn/img/wattnow.png,"Wattnow propose une solution IoT de monitoring et de controle d?‚lectricit‚, qui permet aux entreprises de r‚duire le gaspillage et am‚liorer leur efficacit‚ ‚nerg‚tique

					Site web: www.wattnow.io",Issam Smaali,IoT,Avril 2019, 
